block,block_type,trial,proposition_id,question_slug,cue,mask_type,response_type,pic,correct_response,response,rt,is_correct
1,test,0,toad:visual:no:2,does-it-have-a-peel,toad,mask,pic,raccoon,no,,,
1,test,1,alligator:visual:yes:4,does-it-have-a-tail,alligator,nomask,prompt,,yes,,,
1,test,2,bike:nonvisual:no:4,is-it-found-at-tables,bike,mask,prompt,,no,,,
1,test,3,alligator:nonvisual:yes:2,is-it-a-reptile,alligator,mask,prompt,,yes,,,
1,test,4,zebra:nonvisual:yes:2,does-it-run-fast,zebra,nomask,prompt,,yes,,,
1,test,5,strawberry:nonvisual:yes:2,does-it-taste-sweet,strawberry,nomask,pic,strawberry,yes,,,
1,test,6,table:visual:no:2,does-it-have-a-nose,table,mask,prompt,,no,,,
1,test,7,mouse:visual:yes:4,does-it-have-whiskers,mouse,nomask,pic,mouse,yes,,,
1,test,8,swan:nonvisual:yes:2,is-it-a-bird,swan,mask,prompt,,yes,,,
1,test,9,pig:visual:yes:5,is-it-muddy,pig,mask,pic,pig,yes,,,
1,test,10,pineapple:nonvisual:yes:1,is-it-juicy,pineapple,mask,prompt,,yes,,,
1,test,11,chicken:visual:no:4,does-it-have-four-legs,chicken,nomask,prompt,,no,,,
1,test,12,giraffe:nonvisual:yes:2,does-it-live-in-africa,giraffe,mask,prompt,,yes,,,
1,test,13,donkey:visual:yes:4,does-it-have-hooves,donkey,nomask,prompt,,yes,,,
1,test,14,dog:nonvisual:yes:1,does-it-bark,dog,nomask,prompt,,yes,,,
1,test,15,train:nonvisual:yes:1,is-it-used-for-freight,train,nomask,pic,train,yes,,,
1,test,16,zebra:visual:yes:2,does-it-have-four-legs,zebra,nomask,pic,zebra,yes,,,
1,test,17,giraffe:visual:yes:1,does-it-have-spots,giraffe,nomask,prompt,,yes,,,
1,test,18,jacket:visual:yes:4,does-it-have-sleeves,jacket,mask,prompt,,yes,,,
1,test,19,pig:visual:no:4,does-it-have-feathers,pig,mask,prompt,,no,,,
1,test,20,camel:nonvisual:yes:5,does-it-spit,camel,nomask,prompt,,yes,,,
1,test,21,grasshopper:visual:yes:4,does-it-have-antennae,grasshopper,mask,prompt,,yes,,,
1,test,22,carrot:visual:yes:4,does-it-have-a-pointed-end,carrot,nomask,prompt,,yes,,,
1,test,23,donkey:nonvisual:no:4,does-it-chase-cats,donkey,mask,prompt,,no,,,
1,test,24,deer:visual:yes:4,does-it-have-hooves,deer,nomask,prompt,,yes,,,
1,test,25,grasshopper:nonvisual:yes:2,does-it-live-in-grass,grasshopper,nomask,pic,grasshopper,yes,,,
1,test,26,apple:nonvisual:yes:5,is-it-used-for-cider,apple,nomask,prompt,,yes,,,
1,test,27,lion:nonvisual:no:4,does-it-lay-eggs,lion,nomask,prompt,,no,,,
1,test,28,tiger:nonvisual:yes:1,is-it-a-carnivore,tiger,nomask,prompt,,yes,,,
1,test,29,apple:visual:yes:4,is-it-round,apple,nomask,prompt,,yes,,,
1,test,30,strawberry:visual:yes:2,does-it-have-seeds,strawberry,mask,prompt,,yes,,,
1,test,31,chair:nonvisual:no:5,is-it-an-animal,chair,mask,prompt,,no,,,
1,test,32,carrot:nonvisual:yes:3,does-it-grow-underground,carrot,nomask,prompt,,yes,,,
1,test,33,toad:visual:no:3,does-it-have-a-tail,toad,nomask,prompt,,no,,,
1,test,34,train:nonvisual:no:4,does-it-produce-offspring,train,mask,prompt,,no,,,
1,test,35,bottle:nonvisual:yes:2,is-it-used-for-holding-liquids,bottle,nomask,prompt,,yes,,,
1,test,36,dog:visual:yes:4,does-it-have-hair,dog,mask,prompt,,yes,,,
1,test,37,pineapple:nonvisual:yes:2,is-it-tropical,pineapple,nomask,prompt,,yes,,,
1,test,38,rabbit:nonvisual:no:5,is-it-a-fruit,rabbit,nomask,prompt,,no,,,
1,test,39,chair:nonvisual:yes:5,is-it-found-at-tables,chair,nomask,prompt,,yes,,,
1,test,40,bike:visual:yes:1,does-it-have-handle-bars,bike,nomask,pic,bike,yes,,,
1,test,41,penguin:nonvisual:yes:3,does-it-live-in-the-arctic,penguin,mask,prompt,,yes,,,
1,test,42,swan:visual:yes:2,does-it-have-a-beak,swan,nomask,prompt,,yes,,,
1,test,43,banana:nonvisual:yes:1,is-it-a-fruit,banana,nomask,prompt,,yes,,,
1,test,44,lion:nonvisual:yes:1,is-it-an-animal,lion,mask,prompt,,yes,,,
1,test,45,mouse:nonvisual:no:1,is-it-a-fruit,mouse,nomask,prompt,,no,,,
1,test,46,table:nonvisual:yes:2,is-it-found-in-kitchens,table,nomask,pic,table,yes,,,
1,test,47,tiger:nonvisual:yes:2,is-it-an-animal,tiger,mask,prompt,,yes,,,
1,test,48,elephant:visual:yes:4,does-it-have-a-tail,elephant,nomask,prompt,,yes,,,
1,test,49,chair:visual:yes:4,does-it-have-a-seat,chair,mask,prompt,,yes,,,
1,test,50,raccoon:visual:no:2,does-it-have-seeds,raccoon,mask,pic,alligator,no,,,
2,test,51,lion:nonvisual:yes:5,does-it-roar,lion,mask,pic,lion,yes,,,
2,test,52,carrot:nonvisual:yes:4,is-it-a-root,carrot,nomask,pic,carrot,yes,,,
2,test,53,donkey:visual:no:2,does-it-have-a-pointed-end,donkey,nomask,prompt,,no,,,
2,test,54,tiger:visual:no:1,is-it-black,tiger,nomask,prompt,,no,,,
2,test,55,swan:nonvisual:yes:3,does-it-live-on-water,swan,nomask,prompt,,yes,,,
2,test,56,apple:nonvisual:yes:2,does-it-grow-on-trees,apple,nomask,pic,apple,yes,,,
2,test,57,strawberry:nonvisual:yes:1,is-it-a-fruit,strawberry,nomask,prompt,,yes,,,
2,test,58,train:visual:yes:2,does-it-have-an-engine,train,nomask,prompt,,yes,,,
2,test,59,pineapple:visual:yes:3,does-it-have-skin,pineapple,mask,prompt,,yes,,,
2,test,60,mouse:visual:yes:3,does-it-have-fur,mouse,mask,pic,mouse,yes,,,
2,test,61,penguin:visual:yes:4,does-it-have-wings,penguin,mask,pic,penguin,yes,,,
2,test,62,alligator:visual:yes:3,does-it-have-scales,alligator,nomask,prompt,,yes,,,
2,test,63,strawberry:nonvisual:no:4,does-it-eat,strawberry,nomask,prompt,,no,,,
2,test,64,chair:nonvisual:yes:2,is-it-furniture,chair,nomask,prompt,,yes,,,
2,test,65,bike:nonvisual:yes:3,does-it-have-different-speeds,bike,mask,prompt,,yes,,,
2,test,66,apple:visual:yes:3,does-it-have-seeds,apple,mask,pic,apple,yes,,,
2,test,67,toad:nonvisual:no:3,is-it-furry,toad,nomask,prompt,,no,,,
2,test,68,train:visual:no:4,does-it-have-long-legs,train,nomask,pic,table,no,,,
2,test,69,dog:nonvisual:yes:2,is-it-an-animal,dog,mask,pic,dog,yes,,,
2,test,70,lion:visual:yes:1,does-it-have-a-mane,lion,mask,prompt,,yes,,,
2,test,71,donkey:nonvisual:yes:3,is-it-a-mammal,donkey,nomask,prompt,,yes,,,
2,test,72,alligator:visual:no:5,is-it-made-of-metal,alligator,mask,prompt,,no,,,
2,test,73,chicken:visual:yes:1,does-it-have-feathers,chicken,mask,pic,chicken,yes,,,
2,test,74,table:visual:no:5,is-it-round,table,mask,pic,raccoon,no,,,
2,test,75,carrot:nonvisual:yes:2,is-it-eaten-by-rabbits,carrot,mask,prompt,,yes,,,
2,test,76,table:nonvisual:yes:4,is-it-furniture,table,nomask,prompt,,yes,,,
2,test,77,banana:visual:yes:2,is-it-long,banana,nomask,pic,banana,yes,,,
2,test,78,pig:visual:yes:1,is-it-pink,pig,nomask,pic,pig,yes,,,
2,test,79,table:nonvisual:yes:1,is-it-used-for-eating-on,table,nomask,prompt,,yes,,,
2,test,80,toad:visual:yes:4,does-it-have-a-long-tongue,toad,nomask,prompt,,yes,,,
2,test,81,tiger:visual:yes:1,does-it-have-stripes,tiger,nomask,prompt,,yes,,,
2,test,82,zebra:visual:yes:5,does-it-have-jaws,zebra,mask,prompt,,yes,,,
2,test,83,deer:nonvisual:yes:5,is-it-timid,deer,nomask,prompt,,yes,,,
2,test,84,giraffe:visual:no:1,is-it-green,giraffe,mask,prompt,,no,,,
2,test,85,camel:nonvisual:no:2,is-it-graceful,camel,mask,prompt,,no,,,
2,test,86,elephant:visual:yes:2,does-it-have-ears,elephant,mask,prompt,,yes,,,
2,test,87,chicken:visual:yes:4,does-it-have-legs,chicken,mask,prompt,,yes,,,
2,test,88,bike:nonvisual:yes:2,is-it-used-for-racing,bike,mask,prompt,,yes,,,
2,test,89,penguin:visual:yes:3,does-it-have-feet,penguin,nomask,prompt,,yes,,,
2,test,90,camel:visual:yes:4,is-it-large,camel,nomask,prompt,,yes,,,
2,test,91,chair:visual:yes:1,does-it-have-legs,chair,mask,prompt,,yes,,,
2,test,92,raccoon:nonvisual:yes:3,is-it-nocturnal,raccoon,mask,prompt,,yes,,,
2,test,93,giraffe:visual:no:2,does-it-have-warts,giraffe,nomask,prompt,,no,,,
2,test,94,jacket:nonvisual:yes:1,is-it-clothing,jacket,mask,prompt,,yes,,,
2,test,95,rabbit:visual:no:3,does-it-have-a-seat,rabbit,nomask,pic,giraffe,no,,,
2,test,96,pig:nonvisual:yes:3,is-it-eaten-as-bacon,pig,nomask,prompt,,yes,,,
2,test,97,donkey:visual:no:1,is-it-round,donkey,nomask,prompt,,no,,,
2,test,98,pineapple:nonvisual:yes:5,is-it-prickly,pineapple,mask,prompt,,yes,,,
2,test,99,zebra:visual:no:1,is-it-red,zebra,nomask,pic,chicken,no,,,
2,test,100,jacket:visual:yes:2,does-it-have-pockets,jacket,mask,prompt,,yes,,,
2,test,101,grasshopper:nonvisual:yes:3,is-it-found-in-summer,grasshopper,mask,pic,grasshopper,yes,,,
2,test,102,alligator:nonvisual:no:1,is-it-a-mammal,alligator,mask,pic,penguin,no,,,
3,test,103,toad:visual:yes:3,is-it-small,toad,nomask,prompt,,yes,,,
3,test,104,tiger:visual:yes:4,does-it-have-whiskers,tiger,mask,prompt,,yes,,,
3,test,105,chair:nonvisual:no:3,is-it-a-root,chair,nomask,pic,donkey,no,,,
3,test,106,carrot:nonvisual:yes:1,is-it-a-vegetable,carrot,mask,prompt,,yes,,,
3,test,107,toad:nonvisual:yes:4,does-it-eat-insects,toad,mask,pic,toad,yes,,,
3,test,108,chicken:nonvisual:no:4,is-it-worn-for-the-rain,chicken,nomask,prompt,,no,,,
3,test,109,carrot:nonvisual:no:1,is-it-used-for-holding-things,carrot,nomask,prompt,,no,,,
3,test,110,tiger:visual:no:3,does-it-have-large-ears,tiger,mask,prompt,,no,,,
3,test,111,pineapple:visual:yes:2,does-it-have-an-inside,pineapple,nomask,pic,pineapple,yes,,,
3,test,112,chair:visual:yes:3,does-it-have-armrests,chair,nomask,prompt,,yes,,,
3,test,113,train:nonvisual:yes:4,is-it-loud,train,nomask,pic,train,yes,,,
3,test,114,jacket:visual:yes:1,does-it-have-a-zipper,jacket,mask,pic,jacket,yes,,,
3,test,115,donkey:nonvisual:yes:4,is-it-furry,donkey,mask,prompt,,yes,,,
3,test,116,giraffe:visual:yes:3,does-it-have-long-legs,giraffe,mask,prompt,,yes,,,
3,test,117,mouse:visual:yes:1,does-it-have-a-tail,mouse,mask,prompt,,yes,,,
3,test,118,penguin:nonvisual:yes:2,is-it-unable-to-fly,penguin,mask,pic,penguin,yes,,,
