subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question_slug,cue,mask_type,response_type,pic,correct_response,response,rt,is_correct
MDT128,128,2015_Nov_13_1218,LL-Jerry,0,practice,0,jacket:visual:no:4,visual,does-it-have-hair,jacket,mask,prompt,,no,no,497.517412681,1
MDT128,128,2015_Nov_13_1218,LL-Jerry,0,practice,1,donkey:nonvisual:yes:5,nonvisual,does-it-make-noises,donkey,mask,pic,donkey,yes,yes,181.912898184,1
MDT128,128,2015_Nov_13_1218,LL-Jerry,0,practice,2,jacket:visual:no:4,visual,does-it-have-hair,jacket,mask,prompt,,no,no,689.314567757,1
MDT128,128,2015_Nov_13_1218,LL-Jerry,0,practice,3,camel:nonvisual:no:4,nonvisual,does-it-live-on-a-farm,camel,nomask,prompt,,no,timeout,1500.0,0
MDT128,128,2015_Nov_13_1218,LL-Jerry,0,practice,4,elephant:nonvisual:yes:1,nonvisual,is-it-an-animal,elephant,nomask,prompt,,yes,yes,742.749411042,1
MDT128,128,2015_Nov_13_1218,LL-Jerry,0,practice,5,carrot:nonvisual:yes:3,nonvisual,does-it-grow-underground,carrot,nomask,pic,carrot,yes,yes,750.913205469,1
MDT128,128,2015_Nov_13_1218,LL-Jerry,0,practice,6,giraffe:nonvisual:yes:3,nonvisual,does-it-live-in-zoos,giraffe,nomask,prompt,,yes,yes,648.77022944,1
MDT128,128,2015_Nov_13_1218,LL-Jerry,0,practice,7,bottle:visual:yes:1,visual,is-it-made-of-glass,bottle,mask,prompt,,yes,yes,1324.5803672,1
MDT128,128,2015_Nov_13_1218,LL-Jerry,1,test,9,giraffe:visual:no:1,visual,is-it-green,giraffe,nomask,pic,bike,no,no,22.272546863,1
MDT128,128,2015_Nov_13_1218,LL-Jerry,1,test,10,deer:visual:yes:3,visual,does-it-have-eyes,deer,nomask,pic,deer,yes,yes,449.210027655,1
MDT128,128,2015_Nov_13_1218,LL-Jerry,1,test,11,chair:visual:yes:4,visual,does-it-have-a-seat,chair,mask,prompt,,yes,yes,668.802814194,1
MDT128,128,2015_Nov_13_1218,LL-Jerry,1,test,12,chicken:nonvisual:yes:2,nonvisual,does-it-live-on-a-farm,chicken,mask,prompt,,yes,yes,518.735916216,1
