subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question_slug,cue,mask_type,response_type,pic,correct_response,response,rt,is_correct
MDT120,120,2015_Nov_12_1551,LL-Kramer,0,practice,0,carrot:nonvisual:yes:2,nonvisual,is-it-eaten-by-rabbits,carrot,nomask,pic,carrot,yes,timeout,1500.0,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,0,practice,1,table:visual:yes:1,visual,is-it-made-of-wood,table,nomask,prompt,,yes,yes,713.283613324,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,0,practice,2,tiger:nonvisual:no:4,nonvisual,is-it-worn-in-winter,tiger,nomask,prompt,,no,no,742.424339522,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,0,practice,3,bottle:nonvisual:no:1,nonvisual,is-it-an-animal,bottle,mask,prompt,,no,yes,252.416497562,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,0,practice,4,chicken:visual:yes:4,visual,does-it-have-legs,chicken,mask,prompt,,yes,yes,103.174623568,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,0,practice,5,pineapple:nonvisual:yes:1,nonvisual,is-it-juicy,pineapple,nomask,prompt,,yes,yes,94.6593475528,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,0,practice,6,banana:visual:no:1,visual,does-it-have-feathers,banana,mask,prompt,,no,no,336.898676585,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,0,practice,7,camel:visual:yes:5,visual,is-it-beige,camel,mask,prompt,,yes,no,279.400156811,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,9,tiger:visual:yes:5,visual,does-it-have-large-teeth,tiger,nomask,prompt,,yes,yes,536.562584806,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,10,pig:visual:yes:2,visual,does-it-have-a-tail,pig,mask,prompt,,yes,yes,280.489733443,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,11,donkey:visual:yes:2,visual,does-it-have-four-legs,donkey,mask,prompt,,yes,yes,227.960885037,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,12,train:visual:no:2,visual,does-it-have-a-zipper,train,nomask,prompt,,no,no,665.12683453,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,13,grasshopper:visual:yes:2,visual,does-it-have-legs,grasshopper,nomask,prompt,,yes,no,1322.33823603,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,14,penguin:visual:yes:4,visual,does-it-have-wings,penguin,nomask,pic,penguin,yes,yes,269.580205902,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,15,donkey:nonvisual:no:3,nonvisual,is-it-furniture,donkey,mask,prompt,,no,no,222.761391196,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,16,dog:nonvisual:yes:2,nonvisual,is-it-an-animal,dog,nomask,prompt,,yes,yes,257.604468614,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,17,zebra:visual:yes:5,visual,does-it-have-jaws,zebra,mask,pic,zebra,yes,yes,710.111550521,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,18,dog:visual:yes:4,visual,does-it-have-hair,dog,nomask,prompt,,yes,yes,451.625882182,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,19,strawberry:nonvisual:yes:2,nonvisual,does-it-taste-sweet,strawberry,nomask,pic,strawberry,yes,yes,604.184498079,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,20,chair:nonvisual:yes:3,nonvisual,is-it-comfortable,chair,mask,pic,chair,yes,yes,513.41548888,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,21,chicken:visual:yes:1,visual,does-it-have-feathers,chicken,nomask,prompt,,yes,yes,419.554118533,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,22,camel:nonvisual:yes:4,nonvisual,is-it-a-mammal,camel,mask,prompt,,yes,yes,1256.01459621,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,23,chicken:nonvisual:yes:5,nonvisual,does-it-live-in-a-coop,chicken,mask,pic,chicken,yes,no,1197.96168571,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,24,swan:nonvisual:no:1,nonvisual,is-it-used-by-riding,swan,mask,prompt,,no,yes,517.253652681,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,25,toad:visual:yes:4,visual,does-it-have-a-long-tongue,toad,nomask,prompt,,yes,yes,455.795976799,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,26,swan:visual:yes:4,visual,does-it-have-wings,swan,nomask,prompt,,yes,yes,1037.61311108,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,27,camel:nonvisual:yes:5,nonvisual,does-it-spit,camel,mask,prompt,,yes,no,849.903493654,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,28,giraffe:nonvisual:yes:4,nonvisual,is-it-a-mammal,giraffe,mask,prompt,,yes,yes,502.049517818,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,29,raccoon:nonvisual:yes:1,nonvisual,does-it-eat-garbage,raccoon,nomask,prompt,,yes,no,996.210169513,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,30,apple:nonvisual:yes:1,nonvisual,is-it-a-fruit,apple,mask,pic,apple,yes,yes,385.785894003,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,31,raccoon:nonvisual:no:1,nonvisual,does-it-hop,raccoon,nomask,prompt,,no,yes,884.932541288,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,32,apple:nonvisual:yes:5,nonvisual,is-it-used-for-cider,apple,mask,prompt,,yes,yes,332.137381658,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,33,alligator:nonvisual:yes:1,nonvisual,is-it-an-animal,alligator,nomask,pic,alligator,yes,yes,610.266152304,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,34,banana:nonvisual:yes:3,nonvisual,does-it-grow-in-tropical-climates,banana,nomask,prompt,,yes,yes,217.942479998,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,35,mouse:visual:yes:1,visual,does-it-have-a-tail,mouse,nomask,prompt,,yes,yes,598.633228336,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,36,lion:visual:yes:1,visual,does-it-have-a-mane,lion,nomask,pic,lion,yes,no,741.216971073,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,37,penguin:visual:yes:3,visual,does-it-have-feet,penguin,mask,prompt,,yes,yes,404.839716386,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,38,rabbit:nonvisual:yes:5,nonvisual,does-it-eat-carrots,rabbit,nomask,prompt,,yes,yes,298.679960892,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,39,giraffe:visual:yes:4,visual,is-it-brown,giraffe,mask,prompt,,yes,yes,376.526415348,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,40,camel:visual:no:1,visual,does-it-have-stripes,camel,nomask,prompt,,no,yes,493.732695002,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,41,banana:nonvisual:yes:1,nonvisual,is-it-a-fruit,banana,nomask,pic,banana,yes,yes,351.25714168,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,42,giraffe:nonvisual:yes:1,nonvisual,does-it-eat-leaves,giraffe,nomask,prompt,,yes,yes,567.479154095,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,43,toad:visual:no:3,visual,does-it-have-a-tail,toad,nomask,prompt,,no,yes,981.999903917,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,44,jacket:visual:yes:4,visual,does-it-have-sleeves,jacket,nomask,pic,jacket,yes,yes,475.84783053,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,45,bike:nonvisual:yes:4,nonvisual,is-it-fast,bike,nomask,prompt,,yes,yes,632.712577935,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,46,mouse:visual:yes:3,visual,does-it-have-fur,mouse,nomask,pic,mouse,yes,yes,446.130627301,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,47,pig:nonvisual:yes:5,nonvisual,does-it-like-mud,pig,nomask,prompt,,yes,yes,333.753500599,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,48,tiger:nonvisual:yes:2,nonvisual,is-it-an-animal,tiger,mask,prompt,,yes,yes,604.952706955,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,49,jacket:nonvisual:yes:4,nonvisual,is-it-worn-for-the-rain,jacket,mask,pic,jacket,yes,yes,990.85991364,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,50,camel:visual:yes:3,visual,does-it-have-legs,camel,nomask,pic,camel,yes,yes,667.036473751,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,51,deer:nonvisual:yes:5,nonvisual,is-it-timid,deer,mask,prompt,,yes,no,318.182225805,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,52,pineapple:visual:yes:5,visual,does-it-have-a-core,pineapple,nomask,prompt,,yes,yes,781.413184479,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,53,toad:visual:no:1,visual,does-it-have-handle-bars,toad,mask,pic,alligator,no,yes,29.9857561477,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,54,bottle:visual:yes:2,visual,is-it-made-of-plastic,bottle,nomask,pic,bottle,yes,yes,709.149688948,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,55,chair:visual:no:3,visual,does-it-have-a-snout,chair,mask,prompt,,no,no,487.347278278,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,56,carrot:nonvisual:yes:1,nonvisual,is-it-a-vegetable,carrot,mask,prompt,,yes,timeout,1500.0,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,57,bottle:nonvisual:yes:2,nonvisual,is-it-used-for-holding-liquids,bottle,nomask,prompt,,yes,yes,697.728662286,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,58,bike:visual:yes:4,visual,is-it-made-of-metal,bike,mask,prompt,,yes,yes,45.2042953111,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,59,grasshopper:nonvisual:no:1,nonvisual,does-it-require-a-conductor,grasshopper,nomask,prompt,,no,yes,416.317718104,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,60,lion:visual:yes:4,visual,does-it-have-teeth,lion,mask,pic,lion,yes,yes,205.567594618,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,61,rabbit:visual:yes:2,visual,does-it-have-feet,rabbit,mask,prompt,,yes,yes,323.052030057,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,62,deer:visual:no:2,visual,is-it-green,deer,mask,prompt,,no,no,200.558231678,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,63,train:visual:yes:3,visual,does-it-have-many-cars,train,nomask,prompt,,yes,no,328.432373703,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,64,rabbit:nonvisual:yes:4,nonvisual,is-it-hunted-by-people,rabbit,mask,prompt,,yes,yes,476.709824987,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,65,zebra:nonvisual:yes:3,nonvisual,does-it-live-in-africa,zebra,nomask,prompt,,yes,yes,375.541827641,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,66,rabbit:visual:no:2,visual,is-it-made-of-metal,rabbit,mask,prompt,,no,no,327.045756392,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,67,strawberry:nonvisual:yes:4,nonvisual,does-it-taste-good,strawberry,nomask,pic,strawberry,yes,yes,411.2654645,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,68,raccoon:nonvisual:yes:4,nonvisual,does-it-produce-offspring,raccoon,nomask,prompt,,yes,yes,367.825808935,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,1,test,69,swan:visual:yes:3,visual,does-it-have-feathers,swan,mask,prompt,,yes,yes,255.676903762,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,71,grasshopper:visual:yes:4,visual,does-it-have-antennae,grasshopper,mask,pic,grasshopper,yes,timeout,1500.0,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,72,penguin:visual:no:1,visual,is-it-red,penguin,nomask,pic,strawberry,no,no,982.843973674,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,73,apple:visual:yes:4,visual,is-it-round,apple,mask,pic,apple,yes,yes,249.749211594,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,74,tiger:nonvisual:yes:4,nonvisual,does-it-live-in-zoos,tiger,mask,prompt,,yes,yes,78.1239699572,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,75,bottle:nonvisual:yes:3,nonvisual,is-it-a-container,bottle,nomask,prompt,,yes,yes,463.785990141,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,76,toad:visual:yes:3,visual,is-it-small,toad,mask,prompt,,yes,no,827.856217045,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,77,strawberry:visual:yes:3,visual,does-it-have-green-leaves,strawberry,mask,prompt,,yes,yes,136.516492814,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,78,raccoon:visual:yes:2,visual,does-it-have-a-tail,raccoon,mask,pic,raccoon,yes,yes,680.252228398,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,79,donkey:nonvisual:yes:4,nonvisual,is-it-furry,donkey,mask,prompt,,yes,yes,612.788438331,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,80,chicken:visual:yes:2,visual,does-it-have-wings,chicken,nomask,prompt,,yes,yes,332.016708795,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,81,jacket:nonvisual:yes:1,nonvisual,is-it-clothing,jacket,nomask,prompt,,yes,yes,281.911239959,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,82,dog:visual:yes:3,visual,does-it-have-a-tail,dog,mask,prompt,,yes,yes,547.412576154,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,83,jacket:visual:yes:1,visual,does-it-have-a-zipper,jacket,nomask,prompt,,yes,yes,412.27565892,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,84,elephant:nonvisual:yes:2,nonvisual,does-it-live-in-africa,elephant,nomask,pic,elephant,yes,yes,433.767585084,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,85,rabbit:visual:no:4,visual,is-it-flat,rabbit,mask,prompt,,no,no,444.59260907,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,86,deer:nonvisual:yes:1,nonvisual,is-it-hunted-by-people,deer,nomask,prompt,,yes,yes,308.112926781,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,87,bottle:visual:no:6,visual,does-it-have-a-cork,bottle,nomask,pic,pineapple,no,no,846.185362432,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,88,penguin:visual:yes:2,visual,does-it-have-a-beak,penguin,nomask,prompt,,yes,yes,364.525711164,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,89,train:visual:yes:2,visual,does-it-have-an-engine,train,nomask,prompt,,yes,yes,922.791479155,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,90,apple:visual:yes:5,visual,does-it-have-a-core,apple,nomask,prompt,,yes,yes,376.265224069,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,91,grasshopper:visual:no:5,visual,does-it-have-long-legs,grasshopper,mask,prompt,,no,yes,322.198677808,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,92,strawberry:visual:yes:1,visual,is-it-red,strawberry,nomask,prompt,,yes,yes,349.6611882,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,93,bottle:nonvisual:yes:4,nonvisual,is-it-breakable,bottle,mask,prompt,,yes,yes,265.822703484,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,94,swan:nonvisual:no:2,nonvisual,does-it-grow-on-trees,swan,nomask,pic,deer,no,yes,579.983675387,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,95,banana:nonvisual:yes:2,nonvisual,does-it-taste-good,banana,nomask,pic,banana,yes,yes,303.255605511,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,96,zebra:visual:yes:2,visual,does-it-have-four-legs,zebra,mask,pic,zebra,yes,yes,130.132996012,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,97,apple:nonvisual:yes:3,nonvisual,is-it-eaten-in-pies,apple,mask,prompt,,yes,yes,334.69935786,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,98,pineapple:visual:no:1,visual,does-it-have-legs,pineapple,nomask,prompt,,no,no,381.697101519,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,99,bike:nonvisual:yes:1,nonvisual,is-it-used-for-riding,bike,nomask,pic,bike,yes,yes,1421.50889058,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,100,train:nonvisual:no:3,nonvisual,does-it-live-in-the-arctic,train,nomask,pic,grasshopper,no,no,445.32976998,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,101,camel:visual:no:2,visual,does-it-have-seeds,camel,nomask,prompt,,no,no,289.861242287,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,102,zebra:nonvisual:yes:1,nonvisual,is-it-an-animal,zebra,nomask,prompt,,yes,yes,313.701006584,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,103,dog:nonvisual:yes:1,nonvisual,does-it-bark,dog,nomask,prompt,,yes,yes,300.585119054,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,104,lion:nonvisual:yes:3,nonvisual,is-it-a-mammal,lion,nomask,prompt,,yes,yes,61.705743894,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,105,strawberry:visual:no:2,visual,does-it-have-a-tail,strawberry,nomask,prompt,,no,no,288.876654115,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,106,mouse:visual:yes:2,visual,is-it-grey,mouse,mask,pic,mouse,yes,yes,211.283389013,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,107,rabbit:visual:yes:3,visual,does-it-have-whiskers,rabbit,mask,pic,rabbit,yes,no,90.9146484919,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,108,chicken:nonvisual:no:5,nonvisual,is-it-comfortable,chicken,mask,pic,dog,no,no,609.699598514,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,109,pineapple:visual:yes:4,visual,is-it-yellow-inside,pineapple,mask,prompt,,yes,yes,367.613590788,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,110,chicken:nonvisual:yes:1,nonvisual,does-it-lay-eggs,chicken,mask,prompt,,yes,yes,275.844629854,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,111,elephant:nonvisual:yes:3,nonvisual,does-it-live-in-zoos,elephant,mask,prompt,,yes,yes,439.395995811,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,112,giraffe:nonvisual:yes:2,nonvisual,does-it-live-in-africa,giraffe,nomask,pic,giraffe,yes,yes,459.897252265,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,113,swan:nonvisual:yes:2,nonvisual,is-it-a-bird,swan,mask,pic,swan,yes,yes,842.740905471,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,114,train:nonvisual:no:4,nonvisual,does-it-produce-offspring,train,nomask,prompt,,no,no,286.613958888,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,115,tiger:visual:yes:1,visual,does-it-have-stripes,tiger,nomask,prompt,,yes,no,678.90018085,0
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,116,pig:nonvisual:no:1,nonvisual,is-it-tropical,pig,mask,prompt,,no,no,255.723636597,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,117,lion:visual:yes:2,visual,does-it-have-fur,lion,mask,prompt,,yes,yes,252.49043759,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,118,donkey:visual:yes:3,visual,does-it-have-a-tail,donkey,mask,prompt,,yes,yes,184.388073161,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,119,carrot:nonvisual:yes:3,nonvisual,does-it-grow-underground,carrot,mask,prompt,,yes,yes,148.853608407,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,120,giraffe:visual:yes:3,visual,does-it-have-long-legs,giraffe,nomask,pic,giraffe,yes,yes,192.147944123,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,121,camel:visual:no:5,visual,does-it-have-green-leaves,camel,nomask,pic,dog,no,no,238.031464629,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,122,carrot:nonvisual:yes:4,nonvisual,is-it-a-root,carrot,mask,prompt,,yes,yes,918.519277126,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,123,pig:visual:yes:5,visual,is-it-muddy,pig,mask,prompt,,yes,yes,330.04145138,1
MDT120,120,2015_Nov_12_1551,LL-Kramer,2,test,124,alligator:visual:no:2,visual,is-it-grey,alligator,nomask,prompt,,no,no,611.564105377,1
