question,question_slug,cue,correct_response,proposition_id,feat_type,qid,truth_coded,count,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_min,imagery_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,facts_mean,facts_std,facts_min,facts_max,imagery_z,facts_z,difficulty_z,truth_normed,truth_agree,prop_visual
Is it long?,is-it-long,alligator,yes,alligator:visual:yes:2,visual,2,yes,4,1.5,0.577350269,1,2,2.25,1.258305739,1,4,-1.75,0.5,-2,-1,1.5,1.732050808,0,4,1.280392749,0.734460367,-0.637824614,yes,1,0.571428571
Does it have scales?,does-it-have-scales,alligator,yes,alligator:visual:yes:3,visual,3,yes,5,0.8,1.788854382,-2,2,0.8,1.303840481,0,3,-1.6,0.894427191,-2,0,2.2,1.643167673,0,4,-0.975407611,1.805048106,-0.299785076,yes,1,0.571428571
Does it have a tail?,does-it-have-a-tail,alligator,yes,alligator:visual:yes:4,visual,4,yes,6,1.333333333,1.632993162,-2,2,1.166666667,0.98319208,0,2,-1.833333333,0.40824829,-2,-1,0.5,0.836660027,0,2,-0.404975336,-0.794950688,-0.825624358,yes,1,0.571428571
Does it have jaws?,does-it-have-jaws,alligator,yes,alligator:visual:yes:5,visual,5,yes,3,1.666666667,0.577350269,1,2,1.666666667,1.154700538,1,3,-1.333333333,1.154700538,-2,0,1.333333333,1.527525232,0,3,0.372886857,0.479558525,0.301174103,yes,1,0.571428571
Does it have a long tongue?,does-it-have-a-long-tongue,alligator,yes,alligator:visual:yes:1,visual,1,no,4,0.25,0.5,0,1,2.5,0.577350269,2,3,0.5,0.577350269,0,1,1.75,0.957427108,1,3,1.669323845,1.116813131,4.43276846,NA,NA,0.571428571
Is it an animal?,is-it-an-animal,alligator,yes,alligator:nonvisual:yes:1,nonvisual,1,yes,5,2,0,2,2,1.2,0.836660027,0,2,-2,0,-2,-2,0.6,0.547722558,0,1,-0.353117857,-0.642009583,-1.201223845,yes,1,0.571428571
Is it a reptile?,is-it-a-reptile,alligator,yes,alligator:nonvisual:yes:2,nonvisual,2,yes,7,2,0,2,2,1.571428571,1.397276262,0,4,-1.714285714,0.755928946,-2,0,2.428571429,1.133893419,1,4,0.22472263,2.154627775,-0.55733901,yes,1,0.571428571
Does it live in swamps?,does-it-live-in-swamps,alligator,yes,alligator:nonvisual:yes:3,nonvisual,3,yes,3,1.333333333,0.577350269,1,2,1.333333333,0.577350269,1,2,-1.333333333,0.577350269,-2,-1,1.666666667,1.527525232,0,3,-0.145687938,0.98936221,0.301174103,yes,1,0.571428571
Does it live in water?,does-it-live-in-water,alligator,yes,alligator:nonvisual:yes:4,nonvisual,4,yes,6,1.666666667,0.816496581,0,2,2.333333333,1.366260102,0,4,-1.166666667,1.169045194,-2,1,2.166666667,1.329160136,0,4,1.410036447,1.754067737,0.67677359,yes,1,0.571428571
Does it eat people?,does-it-eat-people,alligator,yes,alligator:nonvisual:yes:5,nonvisual,5,yes,5,1.2,1.095445115,0,2,2.4,1.516575089,1,4,-1.2,1.095445115,-2,0,3,1.224744871,1,4,1.513751406,3.02857695,0.601653693,yes,1,0.571428571
Is it found in summer?,is-it-found-in-summer,alligator,yes,alligator:nonvisual:yes:6,nonvisual,4,no,7,0.857142857,0.899735411,0,2,1.857142857,1.214985793,0,4,-0.285714286,1.380131119,-2,1,2.428571429,1.397276262,0,4,0.669215311,2.154627775,2.662085164,yes,0,0.571428571
Is it grey?,is-it-grey,alligator,no,alligator:visual:no:2,visual,2,no,5,-1.2,1.095445115,-2,0,1.8,1.483239697,0,4,-1.6,0.547722558,-2,-1,0.2,0.447213595,0,1,0.580316775,-1.253774005,-0.299785076,no,1,0.571428571
Is it round?,is-it-round,alligator,no,alligator:visual:no:3,visual,3,no,7,-2,0,-2,-2,1.857142857,1.864454471,0,4,-2,0,-2,-2,0.857142857,1.573591585,0,4,0.669215311,-0.248732454,-1.201223845,no,1,0.571428571
Is it small?,is-it-small,alligator,no,alligator:visual:no:4,visual,4,no,8,-0.75,1.164964745,-2,1,1.375,1.407885953,0,4,-1.375,0.744023809,-2,0,0.625,0.744023809,0,2,-0.080866089,-0.603774306,0.207274231,no,1,0.571428571
Is it made of metal?,is-it-made-of-metal,alligator,no,alligator:visual:no:5,visual,5,no,8,-2,0,-2,-2,1,1.414213562,0,4,-1.875,0.353553391,-2,-1,0.25,0.707106781,0,2,-0.664262734,-1.177303452,-0.919524229,no,1,0.571428571
Is it a mammal?,is-it-a-mammal,alligator,no,alligator:nonvisual:no:1,nonvisual,1,no,6,-1.333333333,1.632993162,-2,2,2,1.788854382,0,4,-1.166666667,0.752772653,-2,0,1.666666667,1.032795559,0,3,0.891461652,0.98936221,0.67677359,no,1,0.571428571
Does it live in the desert?,does-it-live-in-the-desert,alligator,no,alligator:nonvisual:no:2,nonvisual,2,no,4,-1.75,0.5,-2,-1,1.5,1.732050808,0,4,-1.25,0.957427108,-2,0,1.5,0.577350269,1,2,0.113599459,0.734460367,0.488973847,no,1,0.571428571
Is it used for freight?,is-it-used-for-freight,alligator,no,alligator:nonvisual:no:3,nonvisual,3,no,5,-0.8,1.643167673,-2,1,1.2,1.303840481,0,3,-1.2,0.836660027,-2,0,2,1.224744871,0,3,-0.353117857,1.499165895,0.601653693,no,1,0.571428571
Is it a pet?,is-it-a-pet,alligator,no,alligator:nonvisual:no:5,nonvisual,5,no,4,-1.5,0.577350269,-2,-1,1.5,1,0,2,-0.75,1.258305739,-2,1,1,1.154700538,0,2,0.113599459,-0.030245161,1.615772308,no,1,0.571428571
